City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Kolkata,2020-10-27,379.8,541.9,97.3,62.9,203.5,5.0,3.73,80.8,39.5,121.4,Moderate
Bangalore,2020-10-27,205.0,372.6,147.4,3.3,49.7,21.7,0.26,97.0,55.5,365.5,Very Poor
Delhi,2020-10-28,361.2,345.8,190.1,34.3,203.4,19.5,4.08,65.4,91.6,295.8,Poor
Mumbai,2020-10-28,224.3,101.2,138.3,47.8,45.6,12.4,4.87,26.3,45.1,380.3,Very Poor
Chennai,2020-10-28,460.5,396.2,86.2,86.1,152.8,30.2,2.81,86.8,150.3,357.6,Very Poor
Kolkata,2020-10-28,367.8,7.2,7.4,111.9,5.8,3.4,7.13,56.9,59.6,164.0,Moderate
Bangalore,2020-10-28,371.2,242.1,94.6,91.9,84.1,26.4,0.55,21.6,64.2,194.8,Moderate
Delhi,2020-10-29,105.1,292.7,191.5,111.0,106.2,26.2,4.96,43.7,136.0,249.1,Poor
Mumbai,2020-10-29,137.5,492.9,82.2,53.2,205.9,28.9,7.17,33.5,90.1,489.8,Severe
Chennai,2020-10-29,165.5,405.5,75.4,4.3,92.8,13.1,7.33,76.4,71.2,369.3,Very Poor
Kolkata,2020-10-29,83.2,560.2,89.6,145.4,60.9,8.6,0.29,18.4,155.8,182.0,Moderate
Bangalore,2020-10-29,190.7,256.1,75.1,113.8,81.1,7.1,2.58,4.9,138.6,354.5,Very Poor
Delhi,2020-10-30,47.4,33.6,73.5,42.2,75.3,5.6,4.65,95.2,105.8,133.0,Moderate
Mumbai,2020-10-30,494.1,50.5,159.4,24.9,171.0,2.5,3.06,90.2,7.2,113.0,Moderate
Chennai,2020-10-30,212.0,74.7,42.7,129.1,223.0,17.7,5.58,96.4,194.0,370.8,Very Poor
Kolkata,2020-10-30,327.2,553.1,32.9,89.1,18.3,8.4,5.31,67.5,45.8,477.2,Severe
Bangalore,2020-10-30,294.7,221.0,172.1,56.5,169.0,16.0,2.66,38.7,21.9,444.7,Severe
Delhi,2020-10-31,124.9,325.5,3.3,108.9,170.5,19.2,5.67,14.2,5.3,304.0,Very Poor
Mumbai,2020-10-31,25.2,172.6,128.8,51.6,179.5,24.3,4.43,80.3,70.0,148.6,Moderate
Chennai,2020-10-31,194.0,329.9,94.1,13.2,30.0,27.5,6.16,56.6,186.2,357.0,Very Poor
Kolkata,2020-10-31,183.1,202.3,146.9,51.6,197.1,7.2,4.07,7.4,6.0,348.7,Very Poor
Bangalore,2020-10-31,193.8,505.3,121.4,149.5,219.1,14.8,3.68,14.8,41.9,356.9,Very Poor
Delhi,2020-11-01,11.6,503.8,29.3,11.8,237.8,47.2,8.69,69.6,186.8,246.2,Poor
Mumbai,2020-11-01,41.4,24.8,3.9,118.4,143.8,35.4,0.39,62.8,189.0,251.8,Poor
Chennai,2020-11-01,389.8,336.0,170.6,135.6,49.8,7.0,2.16,9.9,153.2,286.0,Poor
Kolkata,2020-11-01,46.4,24.5,21.7,28.6,134.8,8.9,3.61,34.7,12.4,119.9,Moderate
Bangalore,2020-11-01,151.2,214.9,170.1,48.1,186.1,21.3,0.16,7.2,172.8,324.2,Very Poor
Delhi,2020-11-02,147.7,180.6,129.0,119.4,92.1,40.7,8.86,56.6,39.0,321.5,Very Poor
Mumbai,2020-11-02,213.1,187.6,176.4,18.6,7.9,29.4,5.29,68.0,74.6,371.7,Very Poor
Chennai,2020-11-02,156.4,400.2,199.6,82.8,137.6,5.9,1.92,59.3,134.6,362.7,Very Poor
Kolkata,2020-11-02,115.3,536.2,165.8,115.1,11.6,34.7,0.03,9.0,93.2,284.0,Poor
Bangalore,2020-11-02,19.1,211.6,139.0,59.0,152.8,8.7,7.16,87.8,140.7,174.5,Moderate
Delhi,2020-11-03,73.7,514.6,154.6,80.9,83.2,46.7,7.44,28.2,32.7,167.9,Moderate
Mumbai,2020-11-03,271.1,318.6,62.2,24.9,94.0,39.0,8.32,23.4,66.7,421.1,Severe
Chennai,2020-11-03,18.3,264.6,138.1,28.7,215.8,23.1,9.23,63.0,6.1,214.6,Poor
Kolkata,2020-11-03,137.4,535.9,180.9,49.6,230.6,42.1,6.4,49.8,128.1,313.6,Very Poor
Bangalore,2020-11-03,167.0,406.0,96.8,74.0,70.1,43.6,1.3,28.2,57.8,369.9,Very Poor
Delhi,2020-11-04,295.7,110.2,68.6,29.1,69.6,43.3,8.42,96.5,166.0,445.7,Severe
Mumbai,2020-11-04,210.8,500.4,168.8,37.1,223.9,5.9,4.54,53.7,61.1,369.9,Very Poor
Chennai,2020-11-04,418.2,326.7,0.6,60.0,188.2,8.0,7.95,60.3,32.6,276.7,Poor
Kolkata,2020-11-04,389.2,267.5,171.6,105.3,228.6,49.7,6.5,32.3,21.1,217.5,Poor
Bangalore,2020-11-04,331.7,560.1,94.4,126.1,219.0,38.0,9.15,58.9,34.2,481.7,Severe
Delhi,2020-11-05,189.7,408.4,106.6,40.2,71.6,16.6,2.47,5.3,121.1,372.9,Very Poor
Mumbai,2020-11-05,236.0,569.9,147.1,67.7,223.9,4.4,3.62,58.8,19.1,389.3,Very Poor
Chennai,2020-11-05,46.3,385.4,144.2,66.0,44.2,17.9,9.56,3.3,104.5,344.1,Very Poor
Kolkata,2020-11-05,366.8,55.7,73.5,143.6,194.5,35.1,8.6,4.6,1.6,182.5,Moderate
Bangalore,2020-11-05,189.6,566.6,172.0,63.3,185.0,8.7,1.73,85.1,195.6,353.6,Very Poor
Delhi,2020-11-06,28.6,165.9,49.7,124.4,87.9,15.7,6.84,71.0,147.6,169.9,Moderate
Mumbai,2020-11-06,163.2,572.6,82.3,44.4,202.7,26.8,8.74,11.2,55.8,333.4,Very Poor
Chennai,2020-11-06,58.7,556.7,60.2,68.8,173.2,31.6,9.7,75.9,96.6,196.2,Moderate
Kolkata,2020-11-06,383.2,10.6,28.1,98.5,230.8,45.7,3.16,65.4,188.1,249.5,Poor
Bangalore,2020-11-06,22.7,376.0,41.4,25.0,223.6,27.2,1.16,10.1,3.6,332.3,Very Poor
Delhi,2020-11-07,83.4,494.7,91.9,79.8,14.3,16.1,0.9,49.7,52.0,492.4,Severe
Mumbai,2020-11-07,68.9,358.2,88.5,96.9,107.6,17.1,8.7,8.5,142.7,310.0,Very Poor
Chennai,2020-11-07,42.2,454.3,174.7,47.6,114.6,33.0,5.82,86.5,111.1,434.4,Severe
Kolkata,2020-11-07,249.2,539.3,174.9,93.2,188.9,18.4,1.11,74.4,177.2,399.4,Very Poor
Bangalore,2020-11-07,107.4,118.5,41.6,57.8,56.4,31.9,1.82,51.8,34.0,257.0,Poor
Delhi,2020-11-08,229.3,298.1,140.7,105.1,70.8,40.2,2.63,64.0,64.3,384.1,Very Poor
Mumbai,2020-11-08,221.5,34.9,71.0,141.3,149.6,39.6,8.36,19.6,79.4,378.1,Very Poor
Chennai,2020-11-08,7.4,439.4,194.9,85.8,206.1,11.0,5.07,40.7,114.1,413.1,Severe
Kolkata,2020-11-08,387.0,478.9,140.5,132.6,43.6,43.3,6.14,54.5,124.8,469.7,Severe
Bangalore,2020-11-08,95.7,190.1,186.0,129.6,156.8,19.6,8.23,55.9,53.7,217.0,Poor
Delhi,2020-11-09,400.9,302.9,200.0,13.0,88.5,33.1,4.15,65.9,64.6,252.9,Poor
Mumbai,2020-11-09,409.4,3.9,119.1,140.4,111.0,48.7,7.94,20.4,118.2,174.2,Moderate
Chennai,2020-11-09,228.2,384.7,78.8,98.5,80.7,18.8,6.81,99.9,21.6,383.3,Very Poor
Kolkata,2020-11-09,33.9,31.6,95.5,119.7,127.0,20.0,4.85,0.1,6.8,139.7,Moderate
Bangalore,2020-11-09,245.7,175.0,27.2,7.1,122.0,45.1,8.63,84.4,144.4,396.7,Very Poor
Delhi,2020-11-10,10.8,589.0,110.2,73.8,201.0,30.9,4.63,47.0,55.3,132.7,Moderate
Mumbai,2020-11-10,425.6,190.6,41.2,41.3,194.1,47.8,9.0,41.3,46.0,187.5,Moderate
Chennai,2020-11-10,297.5,177.7,14.4,100.4,171.1,43.5,5.72,72.4,153.5,447.5,Severe
Kolkata,2020-11-10,468.4,47.8,187.7,100.1,229.1,45.1,4.96,73.0,139.0,157.1,Moderate
Bangalore,2020-11-10,137.4,590.6,130.0,126.0,31.3,36.2,8.02,71.4,188.1,313.6,Very Poor
Delhi,2020-11-11,420.1,46.2,0.5,105.7,217.4,39.6,1.66,56.3,41.1,125.7,Moderate
Mumbai,2020-11-11,200.4,519.1,92.7,40.5,16.0,26.1,7.24,61.3,4.8,361.9,Very Poor
Chennai,2020-11-11,437.3,41.4,63.1,115.3,66.1,20.4,7.93,32.3,168.0,200.0,Moderate
Kolkata,2020-11-11,348.9,2.5,34.3,112.4,211.7,42.1,7.54,84.5,82.6,498.9,Severe
Bangalore,2020-11-11,466.6,111.8,9.7,19.9,14.0,28.9,1.87,52.8,125.7,137.5,Moderate
Delhi,2020-11-12,47.8,330.9,78.6,4.8,167.9,38.3,3.69,89.6,121.9,280.9,Poor
Mumbai,2020-11-12,323.7,455.7,169.9,127.8,178.7,46.7,4.11,88.0,23.3,473.7,Severe
Chennai,2020-11-12,218.3,348.5,134.9,40.1,70.2,49.6,1.67,56.2,105.9,375.7,Very Poor
Kolkata,2020-11-12,358.8,346.4,53.9,77.5,220.5,12.8,2.89,97.8,129.2,296.4,Poor
Bangalore,2020-11-12,391.6,80.4,94.1,110.9,14.3,38.6,1.75,7.5,74.0,130.9,Moderate
Delhi,2020-11-13,357.2,546.8,59.4,72.6,136.1,35.2,9.91,80.6,189.8,253.8,Poor
Mumbai,2020-11-13,15.9,194.4,173.5,114.8,230.2,46.1,1.18,4.0,30.9,163.1,Moderate
Chennai,2020-11-13,385.7,160.1,48.1,139.1,42.4,23.8,7.56,88.0,99.9,169.4,Moderate
Kolkata,2020-11-13,142.0,541.5,65.4,131.6,65.0,44.4,1.34,76.4,150.8,317.1,Very Poor
Bangalore,2020-11-13,357.8,467.2,12.6,96.4,65.3,23.7,7.98,21.7,100.5,452.9,Severe
Delhi,2020-11-14,341.7,259.0,65.3,42.7,134.6,3.2,0.65,89.7,26.2,491.7,Severe
Mumbai,2020-11-14,473.6,184.3,189.1,70.3,173.9,6.9,1.03,44.8,69.1,156.3,Moderate
Chennai,2020-11-14,366.3,247.1,8.2,70.9,229.4,19.9,2.04,55.9,171.4,207.1,Poor
Kolkata,2020-11-14,397.0,233.4,127.5,87.4,134.4,43.4,4.23,59.8,15.7,189.0,Moderate
Bangalore,2020-11-14,155.5,99.7,47.2,10.3,32.9,26.3,2.73,51.9,99.4,327.5,Very Poor
Delhi,2020-11-15,435.5,264.1,30.5,105.0,94.6,14.3,7.83,0.9,86.2,214.1,Poor
Mumbai,2020-11-15,343.9,464.7,17.9,137.7,94.9,3.2,1.82,8.3,178.3,493.9,Severe
Chennai,2020-11-15,153.9,578.9,1.7,120.1,135.5,38.2,6.55,28.3,92.1,326.2,Very Poor
Kolkata,2020-11-15,354.3,279.4,198.5,135.3,37.0,33.8,3.12,67.8,82.4,229.4,Poor
Bangalore,2020-11-15,386.1,360.0,188.2,144.9,231.8,32.1,7.67,83.5,169.5,312.3,Very Poor
Delhi,2020-11-16,457.6,503.9,72.9,75.3,2.6,42.2,2.58,90.1,60.6,107.0,Moderate
Mumbai,2020-11-16,450.2,478.5,139.1,100.8,47.0,11.3,3.27,96.4,192.0,469.2,Severe
Chennai,2020-11-16,373.0,301.5,163.8,64.1,222.9,8.4,0.68,55.5,124.9,251.5,Poor
Kolkata,2020-11-16,192.0,9.8,67.3,76.0,128.4,17.4,7.18,96.4,31.9,355.5,Very Poor
Bangalore,2020-11-16,483.8,56.6,37.2,109.3,206.7,40.5,5.69,96.3,188.1,249.5,Poor
Delhi,2020-11-17,59.4,83.5,183.9,31.9,78.7,4.8,9.25,18.4,5.1,190.6,Moderate
Mumbai,2020-11-17,275.8,393.9,182.1,98.4,173.4,27.2,6.57,11.8,62.1,425.8,Severe
Chennai,2020-11-17,432.4,186.8,78.0,60.2,165.8,23.3,4.11,11.1,68.2,158.0,Moderate
Kolkata,2020-11-17,361.5,227.2,33.6,103.5,129.4,46.2,9.14,52.7,120.0,189.2,Moderate
Bangalore,2020-11-17,152.6,126.4,95.9,49.6,92.9,18.2,2.61,20.4,165.0,325.3,Very Poor
Delhi,2020-11-18,81.2,412.7,184.3,65.5,0.2,12.8,5.48,69.3,10.5,378.3,Very Poor
Mumbai,2020-11-18,450.5,415.6,42.4,42.4,87.7,28.4,5.92,37.6,161.8,382.0,Very Poor
Chennai,2020-11-18,433.2,537.7,77.5,86.3,173.1,34.5,7.7,69.6,33.9,171.2,Moderate
Kolkata,2020-11-18,54.3,438.4,195.6,68.2,107.1,46.4,0.4,9.3,47.8,411.6,Severe
Bangalore,2020-11-18,135.1,366.2,104.3,125.5,169.6,2.1,7.3,33.1,135.1,320.0,Very Poor
Delhi,2020-11-19,89.7,188.2,192.6,132.5,178.9,44.3,2.33,11.6,50.4,199.0,Moderate
Mumbai,2020-11-19,285.1,170.2,147.9,41.6,125.9,7.0,3.66,27.1,100.3,435.1,Severe
Chennai,2020-11-19,327.2,333.6,181.5,78.9,68.5,25.3,1.9,88.7,36.0,477.2,Severe
Kolkata,2020-11-19,350.6,271.5,63.1,15.0,83.0,13.3,0.96,44.1,92.6,221.5,Poor
Bangalore,2020-11-19,88.1,194.2,36.0,70.5,32.3,35.8,4.35,55.3,99.8,193.5,Moderate
Delhi,2020-11-20,317.3,364.3,91.5,85.8,247.7,15.0,3.05,41.9,52.3,467.3,Severe
Mumbai,2020-11-20,13.5,511.6,22.7,73.7,152.0,6.5,0.69,72.6,81.0,92.1,Satisfactory
Chennai,2020-11-20,188.4,261.7,182.4,136.9,169.8,2.2,3.05,44.6,138.3,352.7,Very Poor
Kolkata,2020-11-20,263.2,462.0,155.5,50.7,182.7,3.2,3.78,61.8,112.4,445.5,Severe
Bangalore,2020-11-20,12.2,255.7,28.7,49.5,3.0,33.2,5.62,62.4,178.4,224.9,Poor
Delhi,2020-11-21,155.6,66.0,146.0,140.7,99.4,19.8,9.83,87.8,190.1,327.6,Very Poor
Mumbai,2020-11-21,160.9,212.6,156.4,137.5,156.3,36.7,6.81,16.9,138.3,331.6,Very Poor
Chennai,2020-11-21,204.8,198.2,163.8,1.8,212.9,24.6,1.79,37.6,129.3,365.3,Very Poor
Kolkata,2020-11-21,398.5,52.9,25.2,93.7,237.9,34.7,3.86,15.0,74.3,123.1,Moderate
Bangalore,2020-11-21,483.6,148.9,194.1,3.9,72.8,41.3,7.22,95.1,160.5,188.9,Moderate
Delhi,2020-11-22,248.1,330.4,135.1,75.9,150.8,16.4,0.67,63.5,34.2,398.5,Very Poor
Mumbai,2020-11-22,20.1,507.7,118.0,107.9,146.5,29.1,0.98,21.0,166.2,197.3,Moderate
Chennai,2020-11-22,447.2,98.7,104.7,45.3,155.1,4.5,3.38,69.6,96.3,117.0,Moderate
Kolkata,2020-11-22,120.3,382.9,175.7,34.8,130.5,17.2,5.79,96.1,158.0,341.0,Very Poor
Bangalore,2020-11-22,204.3,3.7,46.0,120.0,220.3,1.4,2.34,28.3,197.3,364.9,Very Poor
Delhi,2020-11-23,193.8,489.1,28.9,130.8,87.7,10.8,3.14,14.4,22.2,484.4,Severe
Mumbai,2020-11-23,255.3,287.8,159.8,115.8,38.8,29.5,6.29,42.9,48.9,405.3,Severe
Chennai,2020-11-23,384.2,213.9,157.6,118.8,142.5,16.0,1.45,30.0,43.4,176.0,Moderate
Kolkata,2020-11-23,68.3,311.1,166.8,145.7,185.0,43.8,7.32,9.2,6.3,261.1,Poor
Bangalore,2020-11-23,333.6,74.6,44.8,109.4,107.1,26.5,7.63,21.9,85.1,483.6,Severe
Delhi,2020-11-24,361.3,387.3,124.3,73.5,26.0,30.8,8.06,47.8,35.3,346.5,Very Poor
Mumbai,2020-11-24,382.0,568.3,147.8,63.2,39.3,17.1,7.24,85.7,60.3,165.4,Moderate
Chennai,2020-11-24,370.6,90.4,162.9,125.3,25.8,48.3,6.24,67.4,8.1,152.9,Moderate
Kolkata,2020-11-24,281.2,207.8,192.7,37.8,11.6,4.0,7.48,60.3,48.0,431.2,Severe
Bangalore,2020-11-24,36.0,295.1,129.1,66.9,84.4,24.7,6.34,18.3,33.3,245.1,Poor
Delhi,2020-11-25,60.8,249.9,80.8,60.1,192.7,10.5,5.22,33.4,158.2,199.9,Moderate
Mumbai,2020-11-25,190.0,140.9,153.7,147.5,78.4,11.6,3.46,35.9,158.1,354.0,Very Poor
Chennai,2020-11-25,28.5,118.3,171.5,118.3,14.1,47.3,8.02,40.5,42.3,175.2,Moderate
Kolkata,2020-11-25,96.0,434.1,111.7,89.6,104.5,15.6,4.77,60.5,8.8,405.4,Severe
Bangalore,2020-11-25,433.7,26.6,96.3,24.0,164.2,28.2,4.61,0.1,196.5,270.8,Poor
Delhi,2020-11-26,481.5,89.8,74.7,109.4,172.5,39.5,4.36,45.7,51.1,129.4,Moderate
Mumbai,2020-11-26,90.6,58.9,161.8,115.6,63.9,2.6,9.32,39.4,23.3,191.5,Moderate
Chennai,2020-11-26,370.2,426.3,156.4,6.4,182.3,48.0,8.5,33.0,14.6,395.4,Very Poor
Kolkata,2020-11-26,335.8,305.6,180.5,146.5,144.0,6.1,2.05,51.5,91.9,485.8,Severe
Bangalore,2020-11-26,141.2,554.2,183.5,52.7,218.1,26.7,6.79,97.0,146.2,316.5,Very Poor
Delhi,2020-11-27,442.7,471.5,21.4,59.8,246.1,49.5,0.73,66.6,96.2,459.1,Severe
Mumbai,2020-11-27,117.1,449.6,167.5,91.2,15.3,42.3,6.46,14.3,42.1,427.7,Severe
Chennai,2020-11-27,484.2,184.3,105.0,25.9,186.6,30.2,1.94,66.6,92.7,156.3,Moderate
Kolkata,2020-11-27,485.0,348.3,197.0,134.0,86.8,29.1,3.29,55.3,176.2,298.3,Poor
Bangalore,2020-11-27,369.9,569.1,152.6,13.2,227.6,23.9,5.07,59.5,18.3,138.2,Moderate
Delhi,2020-11-28,203.1,18.4,99.4,36.7,140.3,16.0,3.82,1.9,144.9,364.0,Very Poor
Mumbai,2020-11-28,78.1,231.9,123.6,22.9,31.7,44.7,0.03,8.1,36.3,188.0,Moderate
Chennai,2020-11-28,157.6,133.0,39.8,7.1,19.9,31.8,6.31,4.4,56.5,329.1,Very Poor
Kolkata,2020-11-28,250.9,438.4,41.7,104.0,36.3,49.4,4.63,32.5,96.4,411.6,Severe
Bangalore,2020-11-28,446.2,49.2,151.2,2.2,120.3,40.1,1.03,12.9,33.7,49.2,Good
Delhi,2020-11-29,368.4,200.8,186.0,7.0,21.8,1.6,8.09,41.5,86.8,176.1,Moderate
Mumbai,2020-11-29,18.2,36.2,101.3,90.2,82.7,41.3,7.68,25.4,50.5,170.9,Moderate
Chennai,2020-11-29,254.8,31.8,196.4,79.9,163.3,38.8,5.58,65.1,19.3,404.8,Severe
Kolkata,2020-11-29,68.4,214.1,104.4,97.2,239.7,14.3,0.1,74.6,113.6,176.1,Moderate
Bangalore,2020-11-29,63.4,351.2,197.0,50.3,171.4,30.0,9.56,25.8,162.4,301.3,Very Poor
Delhi,2020-11-30,316.6,463.8,142.1,69.8,172.1,19.9,3.41,100.0,86.8,466.6,Severe
Mumbai,2020-11-30,340.3,39.1,163.6,146.7,39.2,16.4,8.34,13.9,195.8,490.3,Severe
Chennai,2020-11-30,434.4,293.5,129.4,99.4,195.5,31.1,1.44,68.7,56.7,243.5,Poor
Kolkata,2020-11-30,166.0,115.0,187.3,120.6,233.3,35.5,6.41,2.1,111.8,335.5,Very Poor
Bangalore,2020-11-30,39.3,27.3,13.0,124.0,26.2,38.4,7.24,49.4,30.8,165.4,Moderate
Delhi,2020-12-01,390.7,104.4,42.2,85.5,88.9,35.0,8.83,24.9,38.6,185.3,Moderate
Mumbai,2020-12-01,331.6,487.4,190.2,148.7,171.5,13.4,0.33,58.2,54.2,481.9,Severe
Chennai,2020-12-01,430.1,340.2,145.4,33.4,217.9,35.0,4.63,48.5,194.6,290.2,Poor
Kolkata,2020-12-01,426.3,50.2,186.5,125.1,5.8,35.2,7.38,52.3,172.2,209.1,Poor
Bangalore,2020-12-01,263.7,204.2,174.2,97.0,88.6,48.8,2.66,13.1,190.8,413.7,Severe
Delhi,2020-12-02,462.0,310.7,116.9,42.3,95.0,35.5,8.29,44.3,51.0,260.7,Poor
Mumbai,2020-12-02,128.1,156.3,80.4,143.7,72.0,32.1,0.59,95.9,112.2,306.4,Very Poor
Chennai,2020-12-02,142.3,6.8,102.7,24.7,210.4,27.8,0.26,67.7,196.6,317.3,Very Poor
Kolkata,2020-12-02,224.1,558.3,194.3,53.8,142.1,47.5,7.85,59.8,27.7,380.1,Very Poor
Bangalore,2020-12-02,61.6,378.6,163.1,115.2,184.8,33.8,9.09,46.6,68.5,335.6,Very Poor
Delhi,2020-12-03,366.2,533.4,136.2,56.4,101.3,38.9,1.3,7.8,60.8,70.3,Satisfactory
Mumbai,2020-12-03,355.8,264.6,145.7,57.3,207.3,19.0,4.62,17.9,78.7,214.6,Poor
Chennai,2020-12-03,283.2,557.3,165.5,40.6,7.7,10.3,1.49,63.0,72.5,433.2,Severe
Kolkata,2020-12-03,210.2,372.8,87.2,68.0,247.0,3.9,0.9,31.4,177.1,369.5,Very Poor
Bangalore,2020-12-03,262.8,207.1,198.2,92.7,31.3,17.5,5.71,72.5,28.4,412.8,Severe
Delhi,2020-12-04,485.2,14.0,91.8,132.2,24.7,23.1,7.01,98.9,170.3,204.3,Poor
Mumbai,2020-12-04,364.3,541.1,77.1,117.6,116.7,16.2,3.88,35.6,5.5,137.6,Moderate
Chennai,2020-12-04,495.2,267.6,105.6,59.7,59.8,42.0,2.11,29.8,188.5,250.5,Poor
Kolkata,2020-12-04,439.7,568.0,143.2,85.0,226.7,2.8,6.54,85.2,169.2,201.5,Poor
Bangalore,2020-12-04,282.4,290.4,86.9,36.4,130.3,35.0,3.49,92.8,107.4,432.4,Severe
Delhi,2020-12-05,235.0,121.3,58.0,55.5,94.5,6.9,4.44,6.3,66.1,388.5,Very Poor
Mumbai,2020-12-05,234.1,1.0,125.5,54.6,216.8,26.8,8.03,63.8,55.9,387.8,Very Poor
Chennai,2020-12-05,216.8,556.2,9.8,0.3,167.6,44.6,5.24,13.8,189.9,374.5,Very Poor
Kolkata,2020-12-05,94.8,462.3,1.3,132.8,232.6,36.6,9.32,73.9,25.2,445.9,Severe
Bangalore,2020-12-05,130.3,162.9,160.0,90.8,196.2,26.5,0.35,16.5,43.0,308.1,Very Poor
Delhi,2020-12-06,403.0,563.5,152.5,54.3,94.9,25.7,9.98,6.0,51.0,199.7,Moderate
Mumbai,2020-12-06,302.9,560.1,159.0,15.6,49.1,34.8,8.96,7.8,105.8,452.9,Severe
Chennai,2020-12-06,308.2,394.2,75.5,135.8,15.5,47.2,0.56,50.5,92.3,458.2,Severe
Kolkata,2020-12-06,189.9,436.0,22.4,42.0,14.9,17.7,8.52,15.5,90.2,408.2,Severe
Bangalore,2020-12-06,209.4,571.0,135.7,122.8,150.6,44.1,3.16,75.4,67.2,368.8,Very Poor
Delhi,2020-12-07,42.0,198.2,137.1,140.6,146.7,20.3,1.79,19.5,42.4,165.6,Moderate
Mumbai,2020-12-07,76.8,0.7,184.4,15.5,33.1,12.3,6.07,44.5,178.8,225.9,Poor
Chennai,2020-12-07,13.4,421.0,2.0,140.7,182.4,13.6,2.63,94.6,180.8,388.7,Very Poor
Kolkata,2020-12-07,291.1,488.0,197.6,14.1,124.2,27.5,8.59,59.3,126.8,482.8,Severe
Bangalore,2020-12-07,475.6,217.7,156.7,53.8,162.1,32.8,7.47,67.4,198.5,275.9,Poor
Delhi,2020-12-08,433.0,387.5,165.7,14.6,236.2,39.0,1.56,26.5,83.9,346.7,Very Poor
Mumbai,2020-12-08,440.9,81.0,113.1,126.4,63.2,8.1,5.29,35.5,91.1,146.4,Moderate
Chennai,2020-12-08,460.9,241.5,178.0,78.6,73.8,33.6,4.16,16.8,26.3,194.4,Moderate
Kolkata,2020-12-08,399.3,289.4,14.7,121.1,109.0,39.1,5.11,3.5,10.7,239.4,Poor
Bangalore,2020-12-08,88.3,264.9,107.8,112.1,52.8,44.0,2.8,42.6,74.3,214.9,Poor
Delhi,2020-12-09,58.4,386.7,62.4,71.2,119.7,35.4,8.99,5.9,198.7,345.7,Very Poor
Mumbai,2020-12-09,488.9,135.3,38.0,38.1,10.8,6.5,4.82,29.2,53.6,135.1,Moderate
Chennai,2020-12-09,496.5,392.6,153.1,65.6,214.9,25.0,2.88,27.3,169.5,353.1,Very Poor
Kolkata,2020-12-09,361.7,173.8,73.0,144.3,154.2,0.1,2.93,22.5,57.5,164.3,Moderate
Bangalore,2020-12-09,247.3,78.0,178.4,146.9,177.0,1.4,4.84,23.7,178.1,397.9,Very Poor
Delhi,2020-12-10,39.3,300.9,91.6,28.3,92.0,0.1,8.94,80.7,54.4,250.9,Poor
Mumbai,2020-12-10,458.4,510.9,91.5,147.0,149.1,49.4,3.35,33.5,66.5,167.0,Moderate
Chennai,2020-12-10,387.4,109.4,94.5,52.5,182.5,0.6,3.03,11.9,58.8,112.7,Moderate
Kolkata,2020-12-10,400.0,209.4,151.9,33.0,116.5,13.1,5.62,23.3,27.8,173.0,Moderate
Bangalore,2020-12-10,363.7,274.5,140.5,134.3,123.8,15.0,8.96,67.2,15.0,224.5,Poor
Delhi,2020-12-11,423.3,459.4,53.9,90.3,243.1,46.9,3.03,10.9,30.4,441.7,Severe
Mumbai,2020-12-11,102.8,295.1,43.0,133.8,140.0,14.2,0.63,25.0,67.4,245.1,Poor
Chennai,2020-12-11,246.4,444.7,120.3,114.9,62.3,24.3,7.1,95.0,138.8,420.7,Severe
Kolkata,2020-12-11,176.4,132.8,174.2,114.8,212.8,49.1,7.95,63.4,140.8,343.5,Very Poor
Bangalore,2020-12-11,73.3,368.4,118.6,90.9,64.4,5.3,4.63,24.5,132.3,322.8,Very Poor
Delhi,2020-12-12,285.4,5.3,88.2,14.3,242.8,47.3,3.52,11.3,93.4,435.4,Severe
Mumbai,2020-12-12,22.2,294.9,9.6,123.2,193.8,49.4,6.89,9.8,23.4,244.9,Poor
Chennai,2020-12-12,57.8,361.4,41.8,78.9,147.3,10.8,2.37,70.0,124.5,314.0,Very Poor
Kolkata,2020-12-12,318.6,24.2,54.4,143.5,201.7,37.8,6.39,95.1,194.9,468.6,Severe
Bangalore,2020-12-12,133.2,311.5,30.4,139.6,95.7,31.7,3.25,5.5,90.6,310.4,Very Poor
Delhi,2020-12-13,13.4,296.1,195.9,98.2,131.9,47.7,0.83,36.4,191.5,258.1,Poor
Mumbai,2020-12-13,445.0,417.9,3.5,74.3,68.8,4.2,8.08,0.2,147.7,384.8,Very Poor
Chennai,2020-12-13,36.5,574.3,171.6,91.9,159.2,33.0,5.55,14.2,127.3,144.2,Moderate
Kolkata,2020-12-13,240.1,490.6,185.7,137.1,127.8,45.8,2.33,20.8,160.5,486.5,Severe
Bangalore,2020-12-13,422.4,530.5,49.9,116.2,46.4,40.0,8.93,60.9,52.1,186.6,Moderate
Delhi,2020-12-14,403.3,405.0,160.1,108.1,218.7,28.6,7.65,20.7,19.0,368.7,Very Poor
Mumbai,2020-12-14,44.4,113.8,97.5,100.9,60.8,9.1,1.99,77.8,47.2,120.9,Moderate
Chennai,2020-12-14,353.1,550.8,18.2,112.8,229.3,26.5,4.32,25.8,173.6,212.7,Poor
Kolkata,2020-12-14,44.2,150.0,64.2,27.8,236.8,6.8,7.62,55.6,52.0,170.2,Moderate
Bangalore,2020-12-14,421.3,49.9,132.1,41.4,8.0,26.7,3.64,65.0,5.1,120.3,Moderate
